corridor,period,tmc_period_count,mean_abs_profile_duration_error_hours,median_abs_profile_duration_error_hours,max_abs_profile_duration_error_hours,within_15_min_share,mean_cbi_selected_doc,mean_taplite_doc,abs_duration_error_vs_abs_doc_difference_correlation
US15_SB,MD,22.000000,0.613636,0.000000,4.750000,0.772727,,1.124818,
US15_SB,PM,22.000000,0.590909,0.000000,4.000000,0.681818,1.121457,1.265312,-0.145397
US1_NB,AM,52.000000,0.336538,0.000000,3.000000,0.730769,4.769278,1.629826,-0.202777
US1_NB,MD,52.000000,1.308511,0.000000,6.000000,0.634615,3.520458,1.706370,
US1_NB,PM,52.000000,0.414894,0.000000,4.000000,0.769231,3.912065,3.233544,0.290682
US1_SB,AM,51.000000,0.472826,0.000000,3.000000,0.666667,2.837244,0.990066,-0.398156
US1_SB,MD,51.000000,0.896739,0.000000,6.000000,0.666667,2.758637,1.739098,-0.378010
US1_SB,PM,51.000000,0.367647,0.000000,4.000000,0.823529,3.813714,3.424281,0.148481
US29_NB,AM,69.000000,0.369565,0.000000,3.000000,0.739130,5.867041,1.499485,-0.758059
US29_NB,MD,69.000000,0.340580,0.000000,4.750000,0.869565,2.895447,1.531696,-0.079460
US29_NB,PM,69.000000,0.246377,0.000000,4.000000,0.884058,4.669595,2.220083,0.616833
US29_SB,AM,70.000000,0.407143,0.000000,3.000000,0.728571,4.697327,0.776297,-0.925930
US29_SB,MD,70.000000,0.300000,0.000000,6.000000,0.885714,3.051223,1.592222,-0.174203
US29_SB,PM,70.000000,0.289286,0.000000,4.000000,0.828571,4.292343,2.733301,0.047451
US50_EB,AM,66.000000,0.484848,0.000000,3.000000,0.681818,2.352143,1.870843,-0.118811
US50_EB,MD,66.000000,1.060606,0.000000,6.000000,0.681818,1.634042,1.679984,0.012763
US50_EB,PM,66.000000,0.530303,0.000000,4.000000,0.742424,3.253835,2.095189,0.435213
US50_WB,AM,63.000000,0.464286,0.000000,3.000000,0.761905,4.004917,0.965483,0.103273
US50_WB,MD,63.000000,1.301587,0.000000,6.000000,0.698413,2.831710,1.544536,
US50_WB,PM,63.000000,0.662698,0.000000,4.000000,0.650794,2.298157,3.115513,-0.198475
VA120_NB,AM,22.000000,0.443182,0.000000,3.000000,0.727273,7.047557,1.190306,-0.240055
VA120_NB,MD,22.000000,0.409091,0.000000,6.000000,0.863636,2.531396,1.741442,
VA120_NB,PM,22.000000,0.465909,0.000000,4.000000,0.863636,5.555975,2.032720,0.227537
VA120_SB,AM,21.000000,0.428571,0.000000,3.000000,0.809524,,1.075754,
VA120_SB,MD,21.000000,0.571429,0.000000,6.000000,0.904762,3.577745,2.028729,
VA120_SB,PM,21.000000,0.392857,0.000000,4.000000,0.904762,5.395501,2.397625,0.386636
VA123_NB,AM,43.000000,0.511628,0.000000,3.000000,0.627907,2.365168,2.141956,0.206120
VA123_NB,MD,43.000000,0.924419,0.000000,6.000000,0.720930,2.021851,1.874824,-0.787689
VA123_NB,PM,43.000000,0.662791,0.000000,4.000000,0.790698,4.177237,2.627450,0.019655
VA123_SB,AM,43.000000,0.488372,0.000000,3.000000,0.674419,4.411901,1.327823,-0.653898
VA123_SB,MD,43.000000,0.994186,0.000000,6.000000,0.744186,,1.862074,
VA123_SB,PM,43.000000,0.581395,0.000000,4.000000,0.720930,3.507481,3.626464,-0.043439
VA234_NB,AM,27.000000,0.250000,0.000000,2.250000,0.851852,3.413700,1.041505,-0.214910
VA234_NB,MD,27.000000,0.462963,0.000000,6.000000,0.888889,1.218121,1.392166,-0.505891
VA234_NB,PM,27.000000,0.740741,0.000000,4.000000,0.666667,3.136552,1.536169,-0.195455
VA234_SB,AM,26.000000,0.221154,0.000000,3.000000,0.884615,0.654240,1.023861,
VA234_SB,MD,26.000000,0.432692,0.000000,6.000000,0.884615,2.644260,1.477752,
VA234_SB,PM,26.000000,0.557692,0.000000,4.000000,0.769231,2.700581,1.608379,-0.495440
VA236_EB,AM,25.000000,0.640000,0.000000,3.000000,0.680000,5.965291,1.850559,-0.687787
VA236_EB,MD,25.000000,0.450000,0.000000,6.000000,0.920000,2.391491,2.236769,-1.000000
VA236_EB,PM,25.000000,0.220000,0.000000,1.500000,0.800000,4.426094,3.450607,-0.036713
VA236_WB,AM,25.000000,0.690000,0.000000,3.000000,0.600000,4.438737,1.592107,0.042713
VA236_WB,MD,25.000000,0.470000,0.000000,6.000000,0.920000,3.085646,2.426393,
VA236_WB,PM,25.000000,0.810000,0.000000,4.000000,0.800000,5.019120,3.674869,-0.269126
VA237_EB,AM,15.000000,0.000000,0.000000,0.000000,1.000000,7.106400,2.755249,
VA237_EB,MD,15.000000,0.000000,0.000000,0.000000,1.000000,,1.883796,
VA237_EB,PM,15.000000,0.000000,0.000000,0.000000,1.000000,5.329360,3.696032,
VA237_NB,AM,3.000000,0.000000,0.000000,0.000000,1.000000,,0.851841,
VA237_NB,MD,3.000000,0.000000,0.000000,0.000000,1.000000,,1.133701,
VA237_NB,PM,3.000000,0.000000,0.000000,0.000000,1.000000,4.939533,1.922192,
VA237_SB,AM,3.000000,0.000000,0.000000,0.000000,1.000000,,0.699860,
VA237_SB,MD,3.000000,0.000000,0.000000,0.000000,1.000000,,1.375090,
VA237_SB,PM,3.000000,0.000000,0.000000,0.000000,1.000000,5.596748,1.622883,
VA237_WB,AM,14.000000,0.000000,0.000000,0.000000,1.000000,6.957902,2.752076,
VA237_WB,MD,14.000000,0.000000,0.000000,0.000000,1.000000,3.506888,2.057101,
VA237_WB,PM,14.000000,0.000000,0.000000,0.000000,1.000000,5.493610,3.919653,
VA244_EB,AM,18.000000,0.375000,0.000000,3.000000,0.777778,,2.080057,
VA244_EB,MD,18.000000,0.333333,0.000000,6.000000,0.944444,3.641989,2.284639,
VA244_EB,PM,18.000000,0.305556,0.000000,4.000000,0.888889,5.257242,2.605054,-0.228809
VA244_WB,AM,21.000000,0.273810,0.000000,3.000000,0.857143,6.789061,0.937546,
VA244_WB,MD,21.000000,0.285714,0.000000,6.000000,0.952381,,1.558652,
VA244_WB,PM,21.000000,0.083333,0.000000,1.000000,0.904762,4.903006,5.030889,0.499973
VA267_EB,AM,43.000000,0.139535,0.000000,3.000000,0.953488,,0.090002,
VA267_EB,MD,43.000000,0.000000,0.000000,0.000000,0.976744,,0.084835,
VA267_EB,PM,43.000000,0.119048,0.000000,4.000000,0.930233,0.624741,0.099338,
VA267_WB,AM,43.000000,0.069767,0.000000,3.000000,0.976744,,0.076657,
