corridor,tmc_code,period,direction,road_order,period_hours,common_threshold_mph,observed_same_threshold_p_hours,cbi_qvdf_same_threshold_p_hours,taplite_same_threshold_p_hours,taplite_kernel_p_hours,taplite_kernel_doc,taplite_period_volume,gmns_link_count,cbi_qvdf_minus_taplite_profile_p_hours,cbi_qvdf_vs_taplite_profile_abs_error_hours,cbi_selected_episode_count,cbi_selected_episode_p_hours,cbi_selected_episode_doc,cbi_selected_episode_demand_veh_per_lane,cbi_capacity_reference_hours,cbi_capacity_volume_veh_per_lane,cbi_selected_p_minus_qvdf_profile_p_hours,taplite_kernel_p_minus_profile_p_hours,cbi_doc_minus_taplite_doc,same_profile_duration_within_15_min
VA237_EB,110+18840,MD,EASTBOUND,3.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,2.000612,3856.732200,2.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+18840,PM,EASTBOUND,3.000000,4.000000,31.500000,4.000000,4.000000,4.000000,15.934288,3.375442,4173.551025,2.000000,0.000000,0.000000,1.000000,24.000000,5.193147,10386.293870,4.000000,2000.000000,20.000000,11.934288,1.817705,True
VA237_EB,110+18841,AM,EASTBOUND,5.000000,3.000000,31.500000,3.000000,3.000000,3.000000,14.153206,4.010753,4010.771560,3.000000,0.000000,0.000000,1.000000,24.000000,6.812442,10218.663706,3.000000,1500.000000,21.000000,11.153206,2.801689,True
VA237_EB,110+18841,MD,EASTBOUND,5.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,4.099140,5921.951373,3.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+18841,PM,EASTBOUND,5.000000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,3.348940,4627.365047,3.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA237_EB,110+18842,AM,EASTBOUND,7.000000,3.000000,31.500000,2.500000,3.000000,3.000000,0.000000,1.482703,5337.719925,3.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110+18842,MD,EASTBOUND,7.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.010241,7273.501784,3.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+18842,PM,EASTBOUND,7.000000,4.000000,31.500000,4.000000,4.000000,4.000000,18.412392,4.284722,5141.678528,3.000000,0.000000,0.000000,1.000000,23.750000,5.555444,13333.066546,4.000000,2400.000000,19.750000,14.412392,1.270722,True
VA237_EB,110+51885,AM,EASTBOUND,1.500000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,2.090600,3763.082400,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110+51885,MD,EASTBOUND,1.500000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.383600,4981.059300,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110+51885,PM,EASTBOUND,1.500000,4.000000,31.500000,4.000000,4.000000,4.000000,32.914423,7.488000,4492.786300,1.000000,0.000000,0.000000,1.000000,24.000000,5.642132,13541.115775,4.000000,2400.000000,20.000000,28.914423,-1.845868,True
VA237_EB,110P13614,AM,EASTBOUND,5.000000,3.000000,31.500000,3.000000,3.000000,3.000000,20.252894,6.162600,3697.579000,1.000000,0.000000,0.000000,1.000000,24.000000,7.439748,13391.547021,3.000000,1800.000000,21.000000,17.252894,1.277148,True
VA237_EB,110P13614,MD,EASTBOUND,5.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.100900,3963.270400,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P13614,PM,EASTBOUND,5.000000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,1.483400,3560.113000,1.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA237_EB,110P13615,AM,EASTBOUND,7.000000,3.000000,31.500000,2.500000,3.000000,3.000000,18.014238,5.506900,3304.164100,1.000000,0.000000,0.000000,1.000000,24.000000,7.067009,12720.616568,3.000000,1800.000000,21.000000,15.014238,1.560109,True
VA237_EB,110P13615,MD,EASTBOUND,7.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.848500,3054.686100,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P13615,PM,EASTBOUND,7.000000,4.000000,31.500000,3.500000,4.000000,4.000000,0.000000,1.173100,2815.434200,1.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA237_EB,110P18838,AM,EASTBOUND,1.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.397500,1431.156500,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110P18838,MD,EASTBOUND,1.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,1.374900,9899.096200,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P18838,PM,EASTBOUND,1.000000,4.000000,31.500000,3.750000,4.000000,4.000000,18.065847,4.207400,5048.916500,1.000000,0.000000,0.000000,1.000000,24.000000,5.095965,12230.315988,4.000000,2400.000000,20.000000,14.065847,0.888565,True
VA237_EB,110P18840,AM,EASTBOUND,4.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.828500,2485.596400,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110P18840,MD,EASTBOUND,4.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.669900,4019.458400,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P18840,PM,EASTBOUND,4.000000,4.000000,31.500000,4.000000,4.000000,4.000000,18.787061,3.979700,3979.746500,1.000000,0.000000,0.000000,1.000000,24.000000,4.742165,9484.329718,4.000000,2000.000000,20.000000,14.787061,0.762465,True
VA237_EB,110P18841,AM,EASTBOUND,6.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,1.597000,5749.186800,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110P18841,MD,EASTBOUND,6.000000,6.000000,31.500000,5.500000,6.000000,6.000000,0.000000,1.061100,7639.825300,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P18841,PM,EASTBOUND,6.000000,4.000000,31.500000,4.000000,4.000000,4.000000,20.271103,4.699800,5639.787200,1.000000,0.000000,0.000000,1.000000,24.000000,4.988139,11971.534397,4.000000,2400.000000,20.000000,16.271103,0.288339,True
VA237_EB,110P18842,AM,EASTBOUND,8.000000,3.000000,31.500000,2.500000,3.000000,3.000000,0.000000,1.450700,5222.509200,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110P18842,MD,EASTBOUND,8.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.996000,7170.931200,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P18842,PM,EASTBOUND,8.000000,4.000000,31.500000,4.000000,4.000000,4.000000,17.891953,4.168500,5002.208100,1.000000,0.000000,0.000000,1.000000,24.000000,5.349278,12838.267167,4.000000,2400.000000,20.000000,13.891953,1.180778,True
VA237_EB,110P51885,AM,EASTBOUND,1.500000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,1.717200,3090.904900,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_EB,110P51885,MD,EASTBOUND,1.500000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.756700,2724.096400,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_EB,110P51885,PM,EASTBOUND,1.500000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,1.169100,2805.914300,1.000000,0.000000,0.000000,1.000000,23.750000,5.361118,12866.683775,4.000000,2400.000000,19.750000,-4.000000,4.192018,True
VA237_NB,110+13630,AM,NORTHBOUND,2.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,1.161024,2961.633169,5.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_NB,110+13630,MD,NORTHBOUND,2.000000,6.000000,31.500000,5.500000,6.000000,6.000000,0.000000,1.938404,6132.500398,5.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_NB,110+13630,PM,NORTHBOUND,2.000000,4.000000,31.500000,4.000000,4.000000,4.000000,11.170716,2.757177,4049.187211,5.000000,0.000000,0.000000,1.000000,20.250000,5.021469,12051.524572,4.000000,2400.000000,16.250000,7.170716,2.264292,True
VA237_NB,110P13629,AM,NORTHBOUND,1.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.483900,2613.267600,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_NB,110P13629,MD,NORTHBOUND,1.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.476800,5149.376200,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_NB,110P13629,PM,NORTHBOUND,1.000000,4.000000,31.500000,4.000000,4.000000,4.000000,8.756488,2.099900,3779.747500,1.000000,0.000000,0.000000,1.000000,24.000000,4.857598,17487.352865,4.000000,3600.000000,20.000000,4.756488,2.757698,True
VA237_NB,110P13630,AM,NORTHBOUND,3.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.910600,3278.250200,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_NB,110P13630,MD,NORTHBOUND,3.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.985900,7098.632500,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_NB,110P13630,PM,NORTHBOUND,3.000000,4.000000,31.500000,4.000000,4.000000,4.000000,0.000000,0.909500,4365.505200,1.000000,0.000000,0.000000,,,,,,,,-4.000000,,True
VA237_SB,110-13629,AM,SOUTHBOUND,2.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,1.167880,1957.581046,5.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_SB,110-13629,MD,SOUTHBOUND,2.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,2.920569,5017.332506,5.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
VA237_SB,110-13629,PM,SOUTHBOUND,2.000000,4.000000,31.500000,4.000000,4.000000,4.000000,12.308740,3.110049,4914.362727,5.000000,0.000000,0.000000,1.000000,22.750000,5.596748,15670.895311,4.000000,2800.000000,18.750000,8.308740,2.486699,True
VA237_SB,110N13629,AM,SOUTHBOUND,3.000000,3.000000,31.500000,3.000000,3.000000,3.000000,0.000000,0.349600,1887.676700,1.000000,0.000000,0.000000,,,,,,,,-3.000000,,True
VA237_SB,110N13629,MD,SOUTHBOUND,3.000000,6.000000,31.500000,6.000000,6.000000,6.000000,0.000000,0.437600,4726.106100,1.000000,0.000000,0.000000,,,,,,,,-6.000000,,True
