corridor,tmc_code,selection_position,period,road_order,gmns_link_count,gmns_link_ids,taplite_period_volume,taplite_period_doc,taplite_period_p_hours,cube_period_volume,cube_period_doc,cube_period_p_hours,model_speed_min_mph,model_speed_max_mph,model_speed_unique_value_count,cube_speed_min_mph,cube_speed_max_mph,cube_speed_unique_value_count
I495_CCW,110-04609,behavior_diverse_3_of_5,PM,8.000000,1.000000,32642,10769.707300,0.690700,3.272612,22587.585940,1.448675,6.961859,17.399333,50.149667,16,15.420649,50.350086,16
I495_CCW,110N04603,behavior_diverse_4_of_5,AM,21.000000,2.000000,32730;32585,8586.164362,0.394075,0.000000,9125.646974,0.435121,1.517317,59.650000,66.333667,12,28.121046,66.384323,12
I495_CCW,110N04603,behavior_diverse_4_of_5,MD,21.000000,2.000000,32730;32585,16535.413077,0.385399,0.000000,17049.242059,0.405861,2.829576,59.624667,61.329333,24,27.527890,61.921188,24
I495_CCW,110N04603,behavior_diverse_4_of_5,PM,21.000000,2.000000,32730;32585,11363.593783,0.388706,0.000000,13673.786848,0.483510,2.218644,61.332667,62.169333,16,29.405679,62.360763,16
I495_CCW,110N04645,corridor_end,AM,29.000000,4.000000,28730;28238;28228;28226,7023.450657,0.451997,0.000000,8893.575224,0.575443,1.933225,56.236333,63.598667,12,25.512598,63.588843,12
I495_CCW,110N04645,corridor_end,MD,29.000000,4.000000,28730;28238;28228;28226,13734.766814,0.443205,0.000000,15691.571672,0.504124,3.445856,15.478667,56.167333,24,15.623655,56.516135,24
I495_CCW,110N04645,corridor_end,PM,29.000000,4.000000,28730;28238;28228;28226,7604.343526,1.476136,7.193854,16562.359755,3.235524,16.598970,14.915803,27.437844,16,9.691856,27.415046,16
I495_CW,110+04614,corridor_start,AM,1.000000,1.000000,16465,22086.383900,0.736200,0.000000,26146.482420,0.871549,3.015895,53.872667,57.339667,12,26.160016,57.333496,12
I495_CW,110+04614,corridor_start,MD,1.000000,1.000000,16465,33886.265200,0.564800,0.000000,43908.023440,0.731800,4.896863,19.660000,53.825667,24,19.823848,54.739384,24
I495_CW,110+04614,corridor_start,PM,1.000000,1.000000,16465,23334.663300,2.333500,10.944717,35412.804690,3.541280,16.908041,14.291000,22.606000,16,8.932285,22.579470,16
