corridor,period,n_selected_links,n_ready_links,P_A_mean,P_B_mean,P_C_mean,DC_obs_mean,DC_assignment_mean,duration_absolute_error_mean,projection_available
VA611_SB,PM,17,17,9.142857142857142,9.262147229337558,1.3333055294117646,2.2612312363150067,0.5007995857551354,5.904829428571429,True
VA612_EB,AM,3,3,2.5,2.5211058400574236,0.7969556666666667,0.801383974921994,0.7387345613504661,0.10913299999999992,True
VA612_EB,MD,3,3,,,0.0,,0.44953808465608464,,True
VA612_EB,PM,3,3,5.5,5.643724846758992,1.2613503333333334,1.296012084776328,0.8160853306878306,1.7159490000000002,True
VA612_WB,AM,2,2,3.25,3.2621369392326747,1.332349,1.0719731002206534,0.36827424527588815,0.585302,True
VA612_WB,MD,2,2,,,0.0,,0.3677145394935752,,True
VA612_WB,PM,2,2,4.0,3.927774932275045,3.7640780000000005,0.9747197974486648,0.9877261459750567,0.23592199999999974,True
VA613_NB,AM,6,6,19.0,19.32392941499483,0.8614685,6.189083083789165,0.903930977733686,16.4155945,True
VA613_NB,MD,6,6,,,0.0,,0.7604230148809523,,True
VA613_NB,PM,6,6,18.9375,19.07018544106397,2.5732164999999996,4.549061736029938,1.0100778726851851,15.07767525,True
VA613_SB,AM,5,5,,,0.0,,0.6061787806878307,,True
VA613_SB,MD,5,5,23.75,23.88136612880396,1.1269018000000002,3.783265567053248,0.578342500925926,18.115491,True
VA613_SB,PM,5,5,14.666666666666666,14.767053090189046,2.3390884,3.605305453394989,0.9583669113095237,10.768186,True
VA617_NB,AM,7,7,24.0,24.18371763982675,0.34590614285714283,7.594301513195763,0.5938858152163642,21.578657,True
VA617_NB,MD,7,7,18.25,18.44014879501121,0.8498348571428572,2.93955588560779,0.3952080018660241,12.301155999999999,True
VA617_NB,PM,7,7,24.0,24.271968423066937,1.0920685714285714,5.7643298818343585,0.6152419264455782,20.17776,True
VA617_SB,AM,7,7,1.25,1.2539092047796954,0.1386595714285714,0.4086228185058714,0.4241985130149281,0.27938300000000005,True
VA617_SB,MD,7,7,,,0.0,,0.4140842790650982,,True
VA617_SB,PM,7,7,18.916666666666668,19.106731274586675,3.0704681428571425,4.404523463960617,0.5651786266121032,15.334453833333335,True
VA619_EB,AM,4,4,,,0.0,,0.40357998874158246,,True
VA619_EB,MD,4,4,,,0.0,,0.4949622770938552,,True
VA619_EB,PM,4,4,,,0.0,,0.36924854916351013,,True
VA619_NB,AM,10,10,,,0.0,,0.25604086260393044,,True
VA619_NB,MD,10,10,,,0.0,,0.26906643737244895,,True
VA619_NB,PM,10,10,14.583333333333334,14.633049732900387,1.1625169,3.3724425336619035,0.3460721641723356,10.708276999999997,True
VA619_SB,AM,10,10,20.25,20.892339893901124,0.17721309999999998,4.843682630099155,0.22981603563869993,18.477869,True
VA619_SB,MD,10,10,13.25,13.395633841275004,0.561229,2.1766091576759905,0.24626731324168555,7.63771,True
VA619_SB,PM,10,10,20.375,20.52259497689341,0.7927668000000001,4.831302093554533,0.35018504022108843,16.411166,True
VA619_WB,AM,3,3,,,0.0,,0.3836136919191919,,True
VA619_WB,MD,3,3,,,0.0,,0.14949501136363638,,True
VA619_WB,PM,3,3,24.0,24.215218144310832,1.058897,5.512929034345746,0.3322594744318182,20.823309000000002,True
VA620_EB,AM,22,22,2.4375,2.472170452493486,0.3596257727272727,0.790153348203315,0.7777115827621451,0.45955825,True
VA620_EB,MD,22,22,,,0.0,,0.5654051148538961,,True
