run_id,data_basis,detector,corridor,sensor_uid,period,calibration_scope,f_d,n,f_p,s,alpha,beta,n_episodes,duration_r2,speed_r2,duration_rmse_hr,speed_rmse_mph,duration_bound_active,speed_bound_active,reliability,link_id,tmc_code,network_link_id,network_from_node_id,network_to_node_id,network_mapping_status
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10015,MD,corridor_period,6.157725788215785,1.021389292187578,0.0521741282694758,0.8186531800111037,0.1232297040654655,0.8361635920786511,130,0.9917353602224812,0.2131409779593618,0.6785774381738506,4.88678469557179,False,False,high,31,110-10015,30568,34587,34444,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10015,PM,sensor_period,4.096562709906547,1.008567227191013,0.2784996153932249,0.3138600888961376,0.2312263906668037,0.3165489995839025,22,0.9898863908887792,-0.0104632777695838,0.1399685667364427,2.100108996499423,False,False,high,31,110-10015,30568,34587,34444,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10018,AM,sensor_period,3.262403826952485,1.0002884490652342,0.0379295263839718,1.0073942159753042,0.0665749845663753,1.0076847978952246,3,,-0.0022950443332694,0.0496776018498646,0.7956581069932608,True,False,low,32,110-10018,33578,35940,34708,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10018,MD,sensor_period,6.562249017666347,1.0000000000000002,4.539993206671658e-05,3.152961860729716,0.0091240982429533,3.1529618607297167,8,-12.821379536841672,-0.0232970441021698,0.3073793855768936,2.140292404109071,True,False,low,32,110-10018,33578,35940,34708,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10018,PM,sensor_period,4.420511491159718,1.0000000000000002,0.0381436557260164,1.0034487254004316,0.0903898411573516,1.0034487254004318,11,,-0.0302533494896168,0.4622574407261811,1.8248722069850176,True,False,low,32,110-10018,33578,35940,34708,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10017,AM,sensor_period,3.1861733167706165,1.0000000000000002,0.0007147384115009,2.1567485564301507,0.0046405707075911,2.156748556430151,8,0.4947459945421857,0.1257675574123332,0.5289278486123381,1.461864874744526,True,False,low,33,110-10017,30613,34600,36632,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10017,MD,sensor_period,6.361656604800229,1.0000000000000002,0.0381213457940578,0.9072633048421688,0.1089473642602111,0.907263304842169,9,0.4572888615118372,0.011732508444456,0.2368832025802403,0.996276600741718,True,False,low,33,110-10017,30613,34600,36632,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10017,PM,sensor_period,4.221637672127956,1.0000361521780563,0.056777287293132,0.7763598885769217,0.0926342719776822,0.7763879556778495,5,-1.0187759446586775,0.0013283498909463,0.1420836353933371,0.6570857680101949,True,False,low,33,110-10017,30613,34600,36632,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10019,AM,sensor_period,3.158321207074831,1.0000000000000002,0.0179162858857015,1.138379590584492,0.035384866869912,1.1383795905844922,4,0.9897693865848624,0.7992095016924983,0.5403814199263356,1.4394521211026994,True,False,low,34,110-10019,30698,34625,35907,mapped_primary_link
corridor-caf781d6ae074551b63fbb1718fe669f,daily,state_transition,VA123_NB,VA123_NB::110-10019,MD,sensor_period,6.13758308113191,1.0000000000000002,0.0038297277490091,1.7323489984360745,0.0473427093612422,1.7323489984360747,8,0.9902508660037332,0.6351088381750678,0.2483055698437972,1.4964201295646524,True,False,low,34,110-10019,30698,34625,35907,mapped_primary_link
