corridor,period,net_link_id,tmc_code,projection_status,speed_mae_cbi_mph,speed_mae_assignment_projection_mph
I395_SB,AM,26806,110N04127,ready,4.403003129117261,0.34614245718050124
I395_SB,AM,26796,110-04126,ready,0.4531336462450615,0.4630330204216075
I395_SB,AM,26788,110N04126,ready,0.39009181488801187,0.5294287714097502
I395_SB,AM,26781,110-04125,ready,0.7592243083003952,0.7560727931488795
I395_SB,AM,26776,110N04125,ready,2.0933300395256906,0.6359169960474323
I395_SB,AM,26764,110-04124,ready,4.814873188405795,0.6726666666666651
I395_SB,AM,32604,110N04120,ready,6.5001268508062005,1.1648732276177949
I395_SB,AM,28312,110N04124,ready,3.5322463768115937,1.076416666666665
I395_SB,AM,28307,110-04123,ready,3.2041082015810276,1.157191534914362
I395_SB,AM,28302,110N04123,ready,0.8310652173913035,0.7009434782608686
I395_SB,AM,28289,110-04122,ready,1.074275362318841,1.2821231884057955
I395_SB,AM,28279,110N04122,ready,0.44342061923583803,0.636339262187087
I395_SB,AM,32616,110-04121,ready,0.6722348484848452,0.6167651515151551
I395_SB,AM,32611,110N04121,ready,6.766520092226614,1.0030671936758886
I395_SB,MD,26712,110N04130,ready,16.54364686264822,0.8369162137681169
I395_SB,MD,26471,110N04129,ready,16.333610503325176,0.6985507285588805
I395_SB,MD,26833,110-04128,ready,15.464517045454548,0.43627857378129126
I395_SB,MD,26829,110N04128,ready,12.328559370882738,0.7211725131752301
I395_SB,MD,26824,110N04670,ready,6.5988473633854055,0.3620184139531985
I395_SB,MD,26684,110-04127,ready,5.541059782608696,0.4880416666666667
I395_SB,MD,26806,110N04127,ready,5.8821240942029,5.494261281291172
I395_SB,MD,26796,110-04126,ready,3.2885956027667973,12.456607295783927
I395_SB,MD,26788,110N04126,ready,3.0371792654808942,7.889582756916997
I395_SB,MD,26781,110-04125,ready,3.197121629194257,4.643214339185191
I395_SB,MD,26776,110N04125,ready,4.362568140645585,4.413962656455863
I395_SB,MD,26764,110-04124,ready,6.594681740170583,3.6351478052839625
I395_SB,MD,32604,110N04120,ready,8.88844844406801,3.9626946718740204
I395_SB,MD,28312,110N04124,ready,5.827886303167337,3.18993072581817
I395_SB,MD,28307,110-04123,ready,4.944870384748103,3.0136984558316087
I395_SB,MD,28302,110N04123,ready,2.4439877717391316,4.093698822463769
I395_SB,MD,28289,110-04122,ready,2.4098547195558067,5.685311947110859
I395_SB,MD,28279,110N04122,ready,1.9727412714097505,1.5768764822134387
I395_SB,MD,32616,110-04121,ready,1.4678275279973654,1.5119847249670606
I395_SB,MD,32611,110N04121,ready,9.976427416457062,2.1420132950053885
I395_SB,PM,26712,110N04130,ready,22.02474864130435,1.5008452322134387
I395_SB,PM,26471,110N04129,ready,19.780918766469036,0.5206151950404663
I395_SB,PM,26833,110-04128,ready,18.04332298136646,0.8214472049689441
I395_SB,PM,26829,110N04128,ready,16.27706027667984,1.8481969226425734
I395_SB,PM,26824,110N04670,ready,9.34232213438735,0.9652258610954253
I395_SB,PM,26684,110-04127,ready,8.883374153020894,1.556855519480521
I395_SB,PM,26806,110N04127,ready,2.9955135512341853,6.311776691419961
I395_SB,PM,26796,110-04126,ready,36.27888434029739,14.329717673630716
I395_SB,PM,26788,110N04126,ready,3.939435113339428,10.327926606806809
I395_SB,PM,26781,110-04125,ready,5.442844144560067,8.088133491599372
I395_SB,PM,26776,110N04125,ready,3.7748100931288366,9.800585919473859
I395_SB,PM,26764,110-04124,ready,3.341135753654372,10.401289370319372
I395_SB,PM,32604,110N04120,ready,4.8362792433211705,19.488394273226643
I395_SB,PM,28312,110N04124,ready,5.431282528295308,6.808667558524573
I395_SB,PM,28307,110-04123,ready,4.205140809120688,6.0988838094836515
I395_SB,PM,28302,110N04123,ready,6.559107976007517,4.41117720106232
I395_SB,PM,28289,110-04122,ready,3.018383420604463,10.908554515941619
I395_SB,PM,28279,110N04122,ready,11.994175827569169,5.96130082756917
I395_SB,PM,32616,110-04121,ready,10.007712450592885,5.276144268774704
I395_SB,PM,32611,110N04121,ready,18.924393071828533,4.058806115306796
I495_CCW,AM,17740,110-04613,ready,40.56398429167451,4.0711545658447825
I495_CCW,AM,28667,110N04613,ready,39.47232213438735,5.788584321475626
I495_CCW,AM,32760,110-04612,ready,20.216657608695655,2.493701086956522
I495_CCW,AM,31752,110N04612,ready,14.430937911725957,1.3411777009222654
I495_CCW,AM,31757,110-04611,ready,13.215376811594203,0.9360768115942022
I495_CCW,AM,32749,110N04611,ready,6.700506340579711,1.2859230072463774
I495_CCW,AM,31750,110-04610,ready,7.999390279607671,1.2835496998975267
