corridor,source,episode_number,start_min,end_min,duration_min,start_time,end_time
VA619_NB,CUBE_QVDF,1,360,570,210,06:00,09:30
VA619_NB,CUBE_QVDF,2,690,750,60,11:30,12:30
VA619_NB,CUBE_QVDF,3,870,1140,270,14:30,19:00
VA619_SB,TAPLITE_MODEL,1,360,1140,780,06:00,19:00
VA619_SB,CUBE_QVDF,1,360,585,225,06:00,09:45
VA619_SB,CUBE_QVDF,2,705,735,30,11:45,12:15
VA619_SB,CUBE_QVDF,3,855,1140,285,14:15,19:00
VA619_WB,CUBE_QVDF,1,990,1050,60,16:30,17:30
VA620_EB,CBI_OBSERVED,1,450,480,30,07:30,08:00
VA620_EB,CBI_OBSERVED,2,495,525,30,08:15,08:45
VA620_EB,CBI_OBSERVED,3,915,1125,210,15:15,18:45
VA620_EB,TAPLITE_MODEL,1,450,525,75,07:30,08:45
VA620_EB,TAPLITE_MODEL,2,540,1110,570,09:00,18:30
VA620_EB,CUBE_QVDF,1,420,540,120,07:00,09:00
VA620_EB,CUBE_QVDF,2,555,1140,585,09:15,19:00
VA620_WB,CBI_OBSERVED,1,915,1050,135,15:15,17:30
VA620_WB,CBI_OBSERVED,2,1065,1110,45,17:45,18:30
VA620_WB,TAPLITE_MODEL,1,915,1110,195,15:15,18:30
VA620_WB,CUBE_QVDF,1,435,480,45,07:15,08:00
VA620_WB,CUBE_QVDF,2,585,855,270,09:45,14:15
VA620_WB,CUBE_QVDF,3,915,1110,195,15:15,18:30
VA640_EB,CBI_OBSERVED,1,930,945,15,15:30,15:45
VA640_EB,CBI_OBSERVED,2,975,1080,105,16:15,18:00
VA640_EB,TAPLITE_MODEL,1,630,915,285,10:30,15:15
VA640_EB,TAPLITE_MODEL,2,975,1140,165,16:15,19:00
VA640_EB,CUBE_QVDF,1,420,495,75,07:00,08:15
VA640_EB,CUBE_QVDF,2,615,1140,525,10:15,19:00
VA640_WB,TAPLITE_MODEL,1,990,1110,120,16:30,18:30
VA640_WB,CUBE_QVDF,1,435,465,30,07:15,07:45
VA640_WB,CUBE_QVDF,2,585,870,285,09:45,14:30
VA640_WB,CUBE_QVDF,3,900,1140,240,15:00,19:00
VA643_EB,CBI_OBSERVED,1,420,630,210,07:00,10:30
VA643_EB,CBI_OBSERVED,2,750,840,90,12:30,14:00
VA643_EB,CBI_OBSERVED,3,870,1140,270,14:30,19:00
VA643_EB,TAPLITE_MODEL,1,480,1140,660,08:00,19:00
VA643_EB,CUBE_QVDF,1,420,1140,720,07:00,19:00
VA643_NB,TAPLITE_MODEL,1,510,990,480,08:30,16:30
VA643_NB,CUBE_QVDF,1,435,465,30,07:15,07:45
VA643_NB,CUBE_QVDF,2,525,570,45,08:45,09:30
VA643_NB,CUBE_QVDF,3,705,735,30,11:45,12:15
VA643_NB,CUBE_QVDF,4,870,930,60,14:30,15:30
VA643_NB,CUBE_QVDF,5,990,1050,60,16:30,17:30
VA643_NB,CUBE_QVDF,6,1125,1140,15,18:45,19:00
VA643_SB,CBI_OBSERVED,1,945,960,15,15:45,16:00
VA643_SB,TAPLITE_MODEL,1,960,1125,165,16:00,18:45
VA643_SB,CUBE_QVDF,1,435,465,30,07:15,07:45
VA643_SB,CUBE_QVDF,2,690,750,60,11:30,12:30
VA643_SB,CUBE_QVDF,3,870,1140,270,14:30,19:00
VA643_WB,CBI_OBSERVED,1,510,540,30,08:30,09:00
VA643_WB,CBI_OBSERVED,2,870,915,45,14:30,15:15
VA643_WB,CBI_OBSERVED,3,945,1125,180,15:45,18:45
VA643_WB,TAPLITE_MODEL,1,525,1140,615,08:45,19:00
VA643_WB,CUBE_QVDF,1,435,480,45,07:15,08:00
VA643_WB,CUBE_QVDF,2,495,1140,645,08:15,19:00
VA644_EB,CBI_OBSERVED,1,435,465,30,07:15,07:45
VA644_EB,CBI_OBSERVED,2,495,525,30,08:15,08:45
VA644_EB,CBI_OBSERVED,3,810,1140,330,13:30,19:00
VA644_EB,TAPLITE_MODEL,1,630,1110,480,10:30,18:30
VA644_EB,CUBE_QVDF,1,405,525,120,06:45,08:45
VA644_EB,CUBE_QVDF,2,555,1125,570,09:15,18:45
VA644_WB,CBI_OBSERVED,1,435,570,135,07:15,09:30
VA644_WB,CBI_OBSERVED,2,765,780,15,12:45,13:00
VA644_WB,CBI_OBSERVED,3,810,1140,330,13:30,19:00
VA644_WB,TAPLITE_MODEL,1,465,495,30,07:45,08:15
VA644_WB,TAPLITE_MODEL,2,585,1140,555,09:45,19:00
VA644_WB,CUBE_QVDF,1,435,510,75,07:15,08:30
VA644_WB,CUBE_QVDF,2,585,1140,555,09:45,19:00
VA645_NB,CBI_OBSERVED,1,435,465,30,07:15,07:45
VA645_NB,CBI_OBSERVED,2,495,555,60,08:15,09:15
VA645_NB,CBI_OBSERVED,3,780,810,30,13:00,13:30
VA645_NB,CBI_OBSERVED,4,855,1140,285,14:15,19:00
VA645_NB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA645_NB,CUBE_QVDF,1,435,570,135,07:15,09:30
VA645_NB,CUBE_QVDF,2,600,1140,540,10:00,19:00
VA645_SB,CBI_OBSERVED,1,915,1110,195,15:15,18:30
VA645_SB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA645_SB,CUBE_QVDF,1,420,1140,720,07:00,19:00
VA659_NB,CUBE_QVDF,1,435,465,30,07:15,07:45
VA659_NB,CUBE_QVDF,2,690,750,60,11:30,12:30
VA659_NB,CUBE_QVDF,3,1005,1035,30,16:45,17:15
VA659_SB,CUBE_QVDF,1,450,465,15,07:30,07:45
VA659_SB,CUBE_QVDF,2,690,750,60,11:30,12:30
VA659_SB,CUBE_QVDF,3,1005,1050,45,16:45,17:30
VA7_EB,CBI_OBSERVED,1,420,600,180,07:00,10:00
VA7_EB,CBI_OBSERVED,2,690,1140,450,11:30,19:00
VA7_EB,TAPLITE_MODEL,1,420,1140,720,07:00,19:00
VA7_EB,CUBE_QVDF,1,390,540,150,06:30,09:00
VA7_EB,CUBE_QVDF,2,555,1125,570,09:15,18:45
VA7_WB,CBI_OBSERVED,1,435,495,60,07:15,08:15
VA7_WB,CBI_OBSERVED,2,525,555,30,08:45,09:15
VA7_WB,CBI_OBSERVED,3,675,1140,465,11:15,19:00
VA7_WB,TAPLITE_MODEL,1,540,1140,600,09:00,19:00
VA7_WB,CUBE_QVDF,1,405,495,90,06:45,08:15
VA7_WB,CUBE_QVDF,2,585,1125,540,09:45,18:45
