corridor,period,mapped_physical_link_count,zero_assignment_link_count,doc_le_0_10_link_count,doc_le_0_25_link_count,mapmatching_review_link_count,formula_review_link_count,median_assignment_volume,median_assignment_D_vphpl,median_assignment_doc,median_synthetic_period_volume,zero_assignment_positive_synthetic_count
VA620_WB,AM,74,0,0,2,14,55,1588.778050,784.454950,1.105000,4084.347278,0
VA620_WB,MD,74,0,0,1,14,49,3836.868800,1801.383900,2.546100,8389.222426,0
VA620_WB,PM,74,0,0,0,14,2,5536.051650,2841.616700,3.720000,5551.156464,0
VA640_EB,AM,38,1,1,2,2,20,2073.792100,657.512400,0.780600,4782.658601,1
VA640_EB,MD,38,0,1,2,2,20,4250.771850,718.584000,0.830600,9604.424720,0
VA640_EB,PM,38,0,1,3,2,1,3183.021000,971.439650,1.182800,6678.146718,0
VA640_WB,AM,37,0,1,6,7,18,1314.795100,375.371000,0.522900,4674.097072,0
VA640_WB,MD,37,1,1,2,7,19,3606.137900,715.292700,0.794800,9216.285308,1
VA640_WB,PM,37,0,1,1,7,0,3798.345400,1738.896800,1.980500,6204.126221,0
VA643_EB,AM,12,0,0,0,6,9,822.156950,625.776650,0.782200,2392.967308,0
VA643_EB,MD,12,0,0,0,6,7,1961.941350,691.290650,0.864100,4692.107191,0
VA643_EB,PM,12,0,0,1,6,0,1249.049350,750.096550,0.937600,3195.771518,0
VA643_NB,AM,27,0,0,4,1,17,1362.878700,492.278000,0.586000,4124.679432,0
VA643_NB,MD,27,0,0,3,1,14,2825.142000,668.920000,0.796300,9454.036788,0
VA643_NB,PM,27,0,1,1,1,0,2211.897900,770.872300,0.997800,6364.572456,0
VA643_SB,AM,27,0,0,4,1,18,1230.463800,471.548200,0.606400,4612.718038,0
VA643_SB,MD,27,0,0,3,1,16,2849.032300,895.159000,1.003400,9332.778651,0
VA643_SB,PM,27,0,1,2,1,1,2013.344900,776.962700,0.977300,6471.946922,0
VA643_WB,AM,11,0,2,2,6,8,333.405800,266.847800,0.333600,2367.566129,0
VA643_WB,MD,11,0,0,0,6,7,1631.890300,663.973700,0.830000,4798.309072,0
VA643_WB,PM,11,0,0,0,6,0,1380.689300,1012.598300,1.265700,3059.423626,0
VA644_EB,AM,45,0,0,0,0,26,2090.870700,541.542300,0.760700,4973.649724,0
VA644_EB,MD,45,0,0,2,0,25,4308.592800,1159.395900,1.521000,10293.343740,0
VA644_EB,PM,45,0,0,0,0,2,4821.721100,1697.945700,2.501500,6895.577008,0
VA644_WB,AM,45,0,1,4,0,30,1987.632000,516.479300,0.774200,4874.025316,0
VA644_WB,MD,45,0,0,1,0,26,4863.917700,1209.285500,1.491900,9993.486354,0
VA644_WB,PM,45,0,0,0,0,1,4946.195000,1836.955000,2.559500,6855.515446,0
VA645_NB,AM,44,0,2,5,5,25,2083.712100,934.819850,1.112900,4106.876943,0
VA645_NB,MD,44,0,2,4,5,20,3658.170000,544.204450,0.616300,8406.706762,0
VA645_NB,PM,44,0,2,2,5,1,4071.880900,1154.730250,1.374650,5608.547011,0
VA645_SB,AM,43,0,0,4,1,23,2247.373700,859.087600,1.001900,3980.651389,0
VA645_SB,MD,43,0,0,3,1,17,3696.785800,528.618800,0.629300,8267.185320,0
VA645_SB,PM,43,0,0,0,1,4,3963.090700,1986.527300,2.207300,5523.531888,0
